modelo|tabla|filas15|estado_modelo|modulos|estados_modulos
sicpro.app.contratos.unidades|sicpro_app_contratos_unidades|6|MODELO_SOLO_15|sicpro_app_contratos|sicpro_app_contratos:installed
sicpro.app.salon.clases.adjuntos|sicpro_app_salon_clases_adjuntos|38|MODELO_SOLO_15|sicpro_app_salon_clases|sicpro_app_salon_clases:installed
sicpro.app.solicitudes.tabla.oportunidades|sicpro_app_solicitudes_tabla_oportunidades|2807|MODELO_SOLO_15|sicpro_app_solicitudes|sicpro_app_solicitudes:installed
sicpro.app.soporte.cronograma.anio|sicpro_app_soporte_cronograma_anio|4|MODELO_SOLO_15|sicpro_app_soporte|sicpro_app_soporte:installed
sicpro.app.soporte.cronograma.plan|sicpro_app_soporte_cronograma_plan|351|MODELO_SOLO_15|sicpro_app_soporte|sicpro_app_soporte:installed
sicpro.app.trabajadores.cierre|sicpro_app_trabajadores_cierre|65|MODELO_SOLO_15|sicpro_app_trabajadores|sicpro_app_trabajadores:installed
sicpro.app.trabajadores.cierre.historial|sicpro_app_trabajadores_cierre_historial|1|MODELO_SOLO_15|sicpro_app_trabajadores|sicpro_app_trabajadores:installed
sicpro.app.trabajadores.notificacion.cierre|sicpro_app_trabajadores_notificacion_cierre|1|MODELO_SOLO_15|sicpro_app_trabajadores|sicpro_app_trabajadores:installed
sicpro.modulo.api.conector.gitlab.commits|sicpro_modulo_api_conector_gitlab_commits|116|MODELO_SOLO_15|sicpro_modulo_api_conector_gitlab|sicpro_modulo_api_conector_gitlab:installed
sicpro.modulo.auditorias.http.request|sicpro_modulo_auditorias_http_request|503|MODELO_SOLO_15|sicpro_modulo_auditorias|sicpro_modulo_auditorias:installed
sicpro.modulo.auditorias.http.session|sicpro_modulo_auditorias_http_session|90|MODELO_SOLO_15|sicpro_modulo_auditorias|sicpro_modulo_auditorias:installed
sicpro.modulo.auditorias.log|sicpro_modulo_auditorias_log|224463|MODELO_SOLO_15|sicpro_modulo_auditorias|sicpro_modulo_auditorias:installed
sicpro.modulo.auditorias.log.line|sicpro_modulo_auditorias_log_line|189369|MODELO_SOLO_15|sicpro_modulo_auditorias|sicpro_modulo_auditorias:installed
sicpro.modulo.auditorias.rule|sicpro_modulo_auditorias_rule|178|MODELO_SOLO_15|sicpro_modulo_auditorias|sicpro_modulo_auditorias:installed
sicpro.modulo.backup.server.gitlab|sicpro_modulo_backup_server_gitlab|1|MODELO_SOLO_15|sicpro_modulo_backup_server|sicpro_modulo_backup_server:installed
sicpro.modulo.backup.server.local|sicpro_modulo_backup_server_local|1|MODELO_SOLO_15|sicpro_modulo_backup_server|sicpro_modulo_backup_server:installed
sicpro.modulo.base.correos.entrantes.asuntos|sicpro_modulo_base_correos_entrantes_asuntos|15|MODELO_SOLO_15|sicpro_modulo_base_correos_entrantes|sicpro_modulo_base_correos_entrantes:installed
sicpro.modulo.base.correos.entrantes.metodos|sicpro_modulo_base_correos_entrantes_metodos|2|MODELO_SOLO_15|sicpro_modulo_base_correos_entrantes,sicpro_modulo_base_correos_entrantes_soporte_acceso,sicpro_modulo_base_correos_entrantes_soporte_tecnico|sicpro_modulo_base_correos_entrantes:installed,sicpro_modulo_base_correos_entrantes_soporte_acceso:installed,sicpro_modulo_base_correos_entrantes_soporte_tecnico:installed
sicpro.modulo.dashboard.colores.orden|sicpro_modulo_dashboard_colores_orden|72|MODELO_SOLO_15|sicpro_modulo_dashboard_extendido|sicpro_modulo_dashboard_extendido:installed
sicpro.modulo.dashboard.colores.set|sicpro_modulo_dashboard_colores_set|6|MODELO_SOLO_15|sicpro_modulo_dashboard_extendido|sicpro_modulo_dashboard_extendido:installed
sicpro.modulo.dashboard.graficos|sicpro_modulo_dashboard_graficos|109|MODELO_SOLO_15|sicpro_modulo_dashboard_extendido|sicpro_modulo_dashboard_extendido:installed
sicpro.modulo.dashboard.grupos|sicpro_modulo_dashboard_grupos|192|MODELO_SOLO_15|sicpro_modulo_dashboard_extendido|sicpro_modulo_dashboard_extendido:installed
sicpro.modulo.dashboard.iconos|sicpro_modulo_dashboard_iconos|577|MODELO_SOLO_15|sicpro_modulo_dashboard_extendido|sicpro_modulo_dashboard_extendido:installed
sicpro.modulo.dashboard.secciones|sicpro_modulo_dashboard_secciones|53|MODELO_SOLO_15|sicpro_modulo_dashboard_extendido|sicpro_modulo_dashboard_extendido:installed
sicpro.modulo.dashboard.tableros|sicpro_modulo_dashboard_tableros|11|MODELO_SOLO_15|sicpro_app_contactos,sicpro_app_contratos,sicpro_app_credenciales,sicpro_app_medios_informaticos,sicpro_app_metrologia,sicpro_app_ordenes_trabajo,sicpro_app_reuniones,sicpro_app_servicios_internos,sicpro_app_solicitudes,sicpro_app_soporte,sicpro_app_trabajadores,sicpro_app_transferencias_gastos,sicpro_app_transporte,sicpro_modulo_dashboard_extendido|sicpro_app_contactos:installed,sicpro_app_contratos:installed,sicpro_app_credenciales:installed,sicpro_app_medios_informaticos:installed,sicpro_app_metrologia:installed,sicpro_app_ordenes_trabajo:installed,sicpro_app_reuniones:installed,sicpro_app_servicios_internos:installed,sicpro_app_solicitudes:installed,sicpro_app_soporte:installed,sicpro_app_trabajadores:installed,sicpro_app_transferencias_gastos:installed,sicpro_app_transporte:installed,sicpro_modulo_dashboard_extendido:installed
sicpro.modulo.mapas|sicpro_modulo_mapas|3|MODELO_SOLO_15|sicpro_modulo_mapas|sicpro_modulo_mapas:installed
sicpro.modulo.plantilla.acceso|sicpro_modulo_plantilla_acceso|280|MODELO_SOLO_15|sicpro_modulo_plantilla_acceso,sicpro_modulo_plantilla_acceso_soporte_bitacora,sicpro_modulo_web_registro|sicpro_modulo_plantilla_acceso:installed,sicpro_modulo_plantilla_acceso_soporte_bitacora:installed,sicpro_modulo_web_registro:installed
sicpro.modulo.plantilla.acceso.roles|sicpro_modulo_plantilla_acceso_roles|2201|MODELO_SOLO_15|sicpro_modulo_plantilla_acceso|sicpro_modulo_plantilla_acceso:installed
sicpro.modulo.roles|sicpro_modulo_roles|131|MODELO_SOLO_15|sicpro_modulo_roles,sicpro_modulo_usuario_desactivar,sicpro_modulo_web_registro|sicpro_modulo_roles:installed,sicpro_modulo_usuario_desactivar:installed,sicpro_modulo_web_registro:installed
sicpro.modulo.roles.line|sicpro_modulo_roles_line|2866|MODELO_SOLO_15|sicpro_modulo_roles|sicpro_modulo_roles:installed
sicpro.modulo.web.about|sicpro_modulo_web_about|1|MODELO_SOLO_15|sicpro_modulo_web|sicpro_modulo_web:installed
sicpro.modulo.web.automatiza|sicpro_modulo_web_automatiza|2|MODELO_SOLO_15|sicpro_modulo_web_automatiza|sicpro_modulo_web_automatiza:installed
sicpro.modulo.web.galeria.etiquetas|sicpro_modulo_web_galeria_etiquetas|3|MODELO_SOLO_15|sicpro_modulo_web|sicpro_modulo_web:installed
sicpro.modulo.web.plugins|sicpro_modulo_web_plugins|9|MODELO_SOLO_15|sicpro_modulo_web_plugins|sicpro_modulo_web_plugins:installed
sicpro.modulo.web.registro.version|sicpro_modulo_web_registro_version|16|MODELO_SOLO_15|sicpro_modulo_web_versiones|sicpro_modulo_web_versiones:installed
sicpro.modulo.web.registro.versiones|sicpro_modulo_web_registro_versiones|53|MODELO_SOLO_15|sicpro_modulo_web_versiones|sicpro_modulo_web_versiones:installed
sicpro.querydb|sicpro_querydb|3|MODELO_SOLO_15|sicpro_modulo_querydb|sicpro_modulo_querydb:installed
